ticker,date,alpha_annual,beta_mkt,r2,regime
AAPL,2021-06-28,,,,range_bound
AAPL,2021-06-29,,,,range_bound
AAPL,2021-06-30,,,,range_bound
AAPL,2021-07-01,,,,range_bound
AAPL,2021-07-02,,,,range_bound
AAPL,2021-07-06,,,,range_bound
AAPL,2021-07-07,,,,range_bound
AAPL,2021-07-08,,,,range_bound
AAPL,2021-07-09,,,,range_bound
AAPL,2021-07-12,,,,range_bound
AAPL,2021-07-13,,,,range_bound
AAPL,2021-07-14,,,,range_bound
AAPL,2021-07-15,,,,range_bound
AAPL,2021-07-16,,,,range_bound
AAPL,2021-07-19,,,,range_bound
AAPL,2021-07-20,,,,range_bound
AAPL,2021-07-21,,,,range_bound
AAPL,2021-07-22,,,,range_bound
AAPL,2021-07-23,,,,range_bound
AAPL,2021-07-26,,,,range_bound
AAPL,2021-07-27,,,,range_bound
AAPL,2021-07-28,,,,range_bound
AAPL,2021-07-29,,,,range_bound
AAPL,2021-07-30,,,,range_bound
AAPL,2021-08-02,,,,range_bound
AAPL,2021-08-03,,,,range_bound
AAPL,2021-08-04,,,,range_bound
AAPL,2021-08-05,,,,range_bound
AAPL,2021-08-06,,,,range_bound
AAPL,2021-08-16,,,,range_bound
AAPL,2021-08-19,,,,range_bound
AAPL,2021-08-20,,,,range_bound
AAPL,2021-08-23,,,,range_bound
AAPL,2021-08-24,,,,range_bound
AAPL,2021-08-25,,,,range_bound
AAPL,2021-08-26,,,,range_bound
AAPL,2021-08-27,,,,range_bound
AAPL,2021-08-30,,,,range_bound
AAPL,2021-09-08,,,,range_bound
AAPL,2021-09-09,,,,range_bound
AAPL,2021-09-10,,,,range_bound
AAPL,2021-09-13,,,,range_bound
AAPL,2021-09-14,,,,range_bound
AAPL,2021-09-15,,,,range_bound
AAPL,2021-09-16,,,,range_bound
AAPL,2021-09-17,,,,range_bound
AAPL,2021-09-20,,,,range_bound
AAPL,2021-09-29,,,,range_bound
AAPL,2021-09-30,,,,range_bound
AAPL,2021-10-01,,,,range_bound
AAPL,2021-10-04,,,,range_bound
AAPL,2021-10-05,,,,range_bound
AAPL,2021-10-06,,,,range_bound
AAPL,2021-10-07,,,,range_bound
AAPL,2021-10-08,,,,range_bound
AAPL,2021-10-11,,,,range_bound
AAPL,2021-10-12,,,,range_bound
AAPL,2021-10-13,,,,range_bound
AAPL,2021-10-14,,,,range_bound
AAPL,2021-10-15,,,,range_bound
AAPL,2021-10-18,,,,range_bound
AAPL,2021-10-19,,,,range_bound
AAPL,2021-10-20,,,,trending_up
AAPL,2021-10-21,,,,trending_up
AAPL,2021-10-22,,,,range_bound
AAPL,2021-10-25,,,,trending_up
AAPL,2021-10-26,,,,range_bound
AAPL,2021-10-27,,,,range_bound
AAPL,2021-10-28,,,,range_bound
AAPL,2021-10-29,,,,range_bound
AAPL,2021-11-01,,,,trending_up
AAPL,2021-11-02,,,,trending_up
AAPL,2021-11-03,,,,trending_up
AAPL,2021-11-04,,,,trending_up
AAPL,2021-11-05,,,,trending_up
