ticker,regime,signal,sharpe,pct_time_in_regime
GOOGL,trending_up,signal_macd_trend_gated,3.022,0.333
GOOGL,trending_up,signal_bb_breakout_gated,-0.832,0.5
GOOGL,trending_up,signal_mr_pool,0.53,0.5
GOOGL,trending_up,signal_trend_pool,2.95,0.333
GOOGL,trending_up,signal_regime_adaptive,3.463,0.358
GOOGL,trending_up,signal_adaptive,0.426,0.636
MSFT,crisis,signal_rsi,-0.979,0.089
MSFT,crisis,signal_macd,-0.629,0.203
MSFT,crisis,signal_zscore,0.437,0.216
MSFT,crisis,signal_bb,-7.324,0.158
MSFT,crisis,signal_ensemble,0.01,0.169
MSFT,crisis,signal_rsi_vol_trend_gated,0.0,0.194
MSFT,crisis,signal_zscore_vol_bb_gated,0.0,0.194
MSFT,crisis,signal_macd_trend_gated,-1.35,0.194
MSFT,crisis,signal_bb_breakout_gated,0.0,0.194
MSFT,crisis,signal_mr_pool,0.0,0.194
MSFT,crisis,signal_trend_pool,-1.35,0.194
MSFT,crisis,signal_regime_adaptive,,0.103
MSFT,crisis,signal_adaptive,-1.968,0.139
MSFT,range_bound,signal_rsi,1.473,0.076
MSFT,range_bound,signal_macd,-0.635,0.082
MSFT,range_bound,signal_zscore,3.416,0.075
MSFT,range_bound,signal_bb,5.308,0.158
MSFT,range_bound,signal_ensemble,-1.686,0.088
MSFT,range_bound,signal_rsi_vol_trend_gated,0.0,0.104
MSFT,range_bound,signal_zscore_vol_bb_gated,0.0,0.104
MSFT,range_bound,signal_macd_trend_gated,0.0,0.104
MSFT,range_bound,signal_bb_breakout_gated,0.0,0.104
MSFT,range_bound,signal_mr_pool,0.0,0.104
MSFT,range_bound,signal_trend_pool,0.0,0.104
MSFT,range_bound,signal_regime_adaptive,,0.0
MSFT,range_bound,signal_adaptive,0.437,0.054
MSFT,trending_down,signal_rsi,1.311,0.115
MSFT,trending_down,signal_macd,-0.543,0.178
MSFT,trending_down,signal_zscore,0.37,0.137
MSFT,trending_down,signal_bb,,0.053
MSFT,trending_down,signal_ensemble,-0.28,0.173
MSFT,trending_down,signal_rsi_vol_trend_gated,0.0,0.163
MSFT,trending_down,signal_zscore_vol_bb_gated,1.02,0.163
MSFT,trending_down,signal_macd_trend_gated,0.0,0.163
MSFT,trending_down,signal_bb_breakout_gated,0.0,0.163
MSFT,trending_down,signal_mr_pool,1.02,0.163
MSFT,trending_down,signal_trend_pool,0.0,0.163
MSFT,trending_down,signal_regime_adaptive,5.086,0.256
MSFT,trending_down,signal_adaptive,0.207,0.143
MSFT,trending_up,signal_rsi,0.537,0.72
MSFT,trending_up,signal_macd,-0.057,0.538
MSFT,trending_up,signal_zscore,-0.395,0.572
MSFT,trending_up,signal_bb,5.291,0.632
MSFT,trending_up,signal_ensemble,-0.196,0.571
MSFT,trending_up,signal_rsi_vol_trend_gated,0.0,0.539
MSFT,trending_up,signal_zscore_vol_bb_gated,0.058,0.539
MSFT,trending_up,signal_macd_trend_gated,0.048,0.539
MSFT,trending_up,signal_bb_breakout_gated,0.193,0.539
MSFT,trending_up,signal_mr_pool,0.058,0.539
MSFT,trending_up,signal_trend_pool,0.061,0.539
MSFT,trending_up,signal_regime_adaptive,0.809,0.641
MSFT,trending_up,signal_adaptive,0.434,0.664
SPY,crisis,signal_rsi,-0.683,0.064
SPY,crisis,signal_macd,4.44,0.028
SPY,crisis,signal_zscore,-1.457,0.061
SPY,crisis,signal_bb,,0.021
SPY,crisis,signal_ensemble,-0.402,0.04
SPY,crisis,signal_rsi_vol_trend_gated,0.0,0.038
SPY,crisis,signal_zscore_vol_bb_gated,0.0,0.038
SPY,crisis,signal_macd_trend_gated,0.0,0.038
SPY,crisis,signal_bb_breakout_gated,0.0,0.038
SPY,crisis,signal_mr_pool,0.0,0.038
SPY,crisis,signal_trend_pool,0.0,0.038
SPY,crisis,signal_regime_adaptive,0.0,0.038
SPY,crisis,signal_adaptive,8.173,0.008
SPY,range_bound,signal_rsi,1.3,0.093
SPY,range_bound,signal_macd,0.602,0.116
SPY,range_bound,signal_zscore,3.431,0.109
SPY,range_bound,signal_bb,8.391,0.208
SPY,range_bound,signal_ensemble,1.269,0.124
SPY,range_bound,signal_rsi_vol_trend_gated,0.0,0.148
SPY,range_bound,signal_zscore_vol_bb_gated,0.0,0.148
SPY,range_bound,signal_macd_trend_gated,0.954,0.148
SPY,range_bound,signal_bb_breakout_gated,0.0,0.148
SPY,range_bound,signal_mr_pool,0.0,0.148
SPY,range_bound,signal_trend_pool,0.954,0.148
SPY,range_bound,signal_regime_adaptive,0.954,0.148
SPY,range_bound,signal_adaptive,2.183,0.079
SPY,trending_down,signal_rsi,1.321,0.21
SPY,trending_down,signal_macd,0.437,0.206
SPY,trending_down,signal_zscore,-0.189,0.237
SPY,trending_down,signal_bb,,0.083
SPY,trending_down,signal_ensemble,0.525,0.218
SPY,trending_down,signal_rsi_vol_trend_gated,0.0,0.199
SPY,trending_down,signal_zscore_vol_bb_gated,0.0,0.199
SPY,trending_down,signal_macd_trend_gated,0.0,0.199
SPY,trending_down,signal_bb_breakout_gated,0.0,0.199
SPY,trending_down,signal_mr_pool,0.0,0.199
SPY,trending_down,signal_trend_pool,0.0,0.199
SPY,trending_down,signal_regime_adaptive,0.0,0.199
SPY,trending_down,signal_adaptive,0.476,0.151
SPY,trending_up,signal_rsi,0.189,0.633
SPY,trending_up,signal_macd,-0.382,0.65
SPY,trending_up,signal_zscore,-0.189,0.593
SPY,trending_up,signal_bb,4.793,0.688
SPY,trending_up,signal_ensemble,-0.2,0.617
SPY,trending_up,signal_rsi_vol_trend_gated,0.0,0.614
SPY,trending_up,signal_zscore_vol_bb_gated,0.0,0.614
SPY,trending_up,signal_macd_trend_gated,-0.231,0.614
SPY,trending_up,signal_bb_breakout_gated,-0.71,0.614
SPY,trending_up,signal_mr_pool,0.0,0.614
SPY,trending_up,signal_trend_pool,-0.266,0.614
SPY,trending_up,signal_regime_adaptive,-0.266,0.614
SPY,trending_up,signal_adaptive,-0.026,0.762
^GSPC,crisis,signal_rsi,-0.578,0.066
^GSPC,crisis,signal_macd,4.422,0.028
^GSPC,crisis,signal_zscore,-1.44,0.065
^GSPC,crisis,signal_bb,,0.0
^GSPC,crisis,signal_ensemble,-0.399,0.041
^GSPC,crisis,signal_rsi_vol_trend_gated,0.0,0.038
^GSPC,crisis,signal_zscore_vol_bb_gated,0.0,0.038
^GSPC,crisis,signal_macd_trend_gated,0.0,0.038
^GSPC,crisis,signal_bb_breakout_gated,0.0,0.038
^GSPC,crisis,signal_mr_pool,0.0,0.038
^GSPC,crisis,signal_trend_pool,0.0,0.038
^GSPC,crisis,signal_regime_adaptive,0.0,0.038
^GSPC,crisis,signal_adaptive,7.19,0.009
^GSPC,range_bound,signal_rsi,1.61,0.106
^GSPC,range_bound,signal_macd,1.44,0.121
^GSPC,range_bound,signal_zscore,2.486,0.112
^GSPC,range_bound,signal_bb,9.004,0.217
^GSPC,range_bound,signal_ensemble,2.337,0.13
^GSPC,range_bound,signal_rsi_vol_trend_gated,-1.056,0.155
^GSPC,range_bound,signal_zscore_vol_bb_gated,0.0,0.155
^GSPC,range_bound,signal_macd_trend_gated,0.921,0.155
^GSPC,range_bound,signal_bb_breakout_gated,0.0,0.155
^GSPC,range_bound,signal_mr_pool,-1.056,0.155
^GSPC,range_bound,signal_trend_pool,0.921,0.155
^GSPC,range_bound,signal_regime_adaptive,0.857,0.155
^GSPC,range_bound,signal_adaptive,1.063,0.076
^GSPC,trending_down,signal_rsi,1.112,0.219
^GSPC,trending_down,signal_macd,-0.085,0.211
^GSPC,trending_down,signal_zscore,-1.152,0.244
^GSPC,trending_down,signal_bb,,0.087
^GSPC,trending_down,signal_ensemble,-0.255,0.219
^GSPC,trending_down,signal_rsi_vol_trend_gated,-0.92,0.205
^GSPC,trending_down,signal_zscore_vol_bb_gated,0.0,0.205
^GSPC,trending_down,signal_macd_trend_gated,0.0,0.205
^GSPC,trending_down,signal_bb_breakout_gated,0.0,0.205
^GSPC,trending_down,signal_mr_pool,-0.92,0.205
^GSPC,trending_down,signal_trend_pool,0.0,0.205
^GSPC,trending_down,signal_regime_adaptive,-0.92,0.205
^GSPC,trending_down,signal_adaptive,-0.059,0.155
^GSPC,trending_up,signal_rsi,0.016,0.609
^GSPC,trending_up,signal_macd,-0.45,0.64
^GSPC,trending_up,signal_zscore,0.096,0.578
^GSPC,trending_up,signal_bb,3.884,0.696
^GSPC,trending_up,signal_ensemble,-0.223,0.61
^GSPC,trending_up,signal_rsi_vol_trend_gated,0.0,0.602
^GSPC,trending_up,signal_zscore_vol_bb_gated,0.0,0.602
^GSPC,trending_up,signal_macd_trend_gated,-0.23,0.602
^GSPC,trending_up,signal_bb_breakout_gated,-0.708,0.602
^GSPC,trending_up,signal_mr_pool,0.0,0.602
^GSPC,trending_up,signal_trend_pool,-0.265,0.602
^GSPC,trending_up,signal_regime_adaptive,-0.265,0.602
^GSPC,trending_up,signal_adaptive,-0.141,0.76
