ticker,signal,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
AAPL,signal_rsi_vol_trend_gated,-0.0204,-0.0035,0.0079,-6.614,-6.614,-0.1743,-0.0204,-0.0204,333.0,1.0,0.0,0.0,-1831.8833,0.0,1.0,-0.0093,276.8183,0.0,-0.0,0.1728,0.0,1.0,0.0
AAPL,signal_mr_pool,-0.0204,-0.0035,0.0079,-6.614,-6.614,-0.1743,-0.0204,-0.0204,333.0,1.0,0.0,0.0,-1831.8833,0.0,1.0,-0.0093,276.8183,0.0,-0.0,0.1728,0.0,1.0,0.0
AAPL,signal_bb_breakout_gated,0.0019,0.0003,0.0009,-55.2526,-655.6985,1.8697,-0.0002,-0.0002,93.0,1.0,0.0,0.0,-74.3361,0.0,1.0,-0.0029,35.5907,0.0,-0.0,0.1728,0.0,1.0,0.0
GOOGL,signal_macd,0.4486,0.0661,0.213,0.1766,0.2719,0.2627,-0.2518,-0.1054,870.0,100.0,0.41,4826.0499,-2884.6734,1.1626,12.07,-0.0053,13409.8604,-0.0181,-0.0305,17.284,0.0,1.0,0.0
GOOGL,signal_ensemble,0.0859,0.0143,0.3199,0.0496,0.0729,0.0307,-0.4671,-0.2135,1105.0,92.0,0.4348,4631.8321,-3485.197,1.0223,12.8804,-0.0035,12974.0114,-0.0273,-0.0473,15.9012,0.0,1.0,0.0
GOOGL,signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GOOGL,signal_zscore,0.0656,0.011,0.169,-0.1389,-0.1944,0.0364,-0.3035,-0.078,924.0,24.0,0.5,5234.8848,-4114.7458,1.2722,18.0417,0.0101,2906.081,-0.0064,-0.0244,4.1481,0.0,1.0,0.0
GOOGL,signal_rsi,-0.0937,-0.0169,0.2027,-0.2238,-0.3248,-0.0565,-0.2985,-0.1539,997.0,34.0,0.5294,3504.5542,-5288.414,0.7455,15.2647,-0.0062,4946.2622,-0.016,-0.0332,5.8765,0.0,1.0,0.0
GOOGL,signal_adaptive,0.0799,0.0134,0.0877,-0.3612,-0.5432,0.0939,-0.1425,-0.0515,961.0,114.0,0.4561,1600.5096,-1727.0544,0.7773,7.1491,-0.0047,8129.6016,-0.0087,-0.0135,19.7037,0.0,1.0,0.0
GOOGL,signal_bb,-0.0481,-0.0085,0.0642,-0.8605,-1.161,-0.0651,-0.1302,-0.0306,546.0,29.0,0.3793,1154.257,-620.2558,1.1372,1.5517,0.001,5877.089,0.0,-0.0002,5.0123,0.0,1.0,0.0
GOOGL,signal_regime_adaptive,0.054,0.0091,0.0414,-0.9378,-1.7723,0.1245,-0.0733,-0.0452,876.0,17.0,0.3529,1531.2053,-1267.5716,0.6589,6.4118,-0.0048,1649.0093,-0.0,-0.003,2.9383,0.0,1.0,0.0
GOOGL,signal_macd_trend_gated,0.003,0.0005,0.0333,-1.4325,-2.1234,0.0072,-0.0724,-0.0474,876.0,13.0,0.3846,1555.2726,-994.4315,0.9775,7.8462,-0.0049,1067.8776,0.0,-0.0002,2.2469,0.0,1.0,0.0
GOOGL,signal_mr_pool,0.058,0.0098,0.0269,-1.4362,-18.3196,1.5752,-0.0062,-0.0062,1037.0,1.0,0.0,0.0,-5490.5279,0.0,4.0,-0.028,267.7388,0.0,-0.0,0.1728,0.0,1.0,0.0
GOOGL,signal_zscore_vol_bb_gated,0.058,0.0098,0.0269,-1.4362,-18.3196,1.5752,-0.0062,-0.0062,1037.0,1.0,0.0,0.0,-5490.5279,0.0,4.0,-0.028,267.7388,0.0,-0.0,0.1728,0.0,1.0,0.0
GOOGL,signal_trend_pool,-0.004,-0.0007,0.0334,-1.4655,-2.1659,-0.009,-0.0773,-0.0499,876.0,16.0,0.375,1531.2053,-845.276,1.0869,6.5625,-0.0033,1381.2705,0.0,-0.0002,2.7654,0.0,1.0,0.0
GOOGL,signal_bb_breakout_gated,-0.007,-0.0012,0.0023,-21.6009,-21.6385,-0.1733,-0.007,-0.0069,472.0,3.0,0.3333,1410.8684,-248.654,2.837,1.0,0.0034,313.393,0.0,-0.0,0.5185,0.0,1.0,0.0
MSFT,signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MSFT,signal_rsi,0.0865,0.0144,0.2186,-0.0476,-0.0666,0.0309,-0.4675,-0.2379,1397.0,34.0,0.5882,3826.9287,-6624.4904,0.8253,14.5882,-0.0043,6025.5917,-0.0162,-0.0337,5.8765,0.0,1.0,0.0
MSFT,signal_zscore,-0.0104,-0.0018,0.1936,-0.164,-0.231,-0.0053,-0.3392,-0.1891,1324.0,27.0,0.4815,4839.2111,-5908.3639,0.7605,17.2593,-0.0008,3736.5959,-0.0113,-0.0289,4.6667,0.0,1.0,0.0
MSFT,signal_bb,0.0891,0.0149,0.0751,-0.4153,-0.5843,0.1008,-0.1474,-0.0268,411.0,35.0,0.1143,4195.421,-1008.7475,0.5367,1.6286,-0.0026,7297.9798,-0.0,-0.0003,6.0494,0.0,1.0,0.0
MSFT,signal_ensemble,-0.3947,-0.0831,0.2259,-0.4867,-0.6696,-0.1686,-0.4928,-0.2901,1152.0,98.0,0.2449,4167.6422,-1362.9402,0.9917,11.949,-0.0025,15266.6921,-0.0189,-0.036,16.9383,0.0,1.0,0.0
MSFT,signal_macd,-0.3983,-0.0841,0.2037,-0.568,-0.7388,-0.1542,-0.5452,-0.2367,893.0,104.0,0.2596,5046.0998,-1939.5016,0.9123,11.5769,-0.0046,16797.0064,-0.0182,-0.0349,17.9753,0.0,1.0,0.0
MSFT,signal_adaptive,-0.093,-0.0167,0.0954,-0.6402,-0.8522,-0.0857,-0.1952,-0.0786,844.0,123.0,0.4146,1518.7829,-1315.0543,0.8181,6.6423,-0.0027,9335.4337,-0.0092,-0.0156,21.2593,0.0,1.0,0.0
MSFT,signal_regime_adaptive,0.0308,0.0053,0.0442,-0.9629,-1.3346,0.0524,-0.1004,-0.0693,1258.0,11.0,0.5455,2924.4603,-1277.8375,2.7463,3.5455,0.0049,2071.5939,0.0,-0.0002,1.9012,0.0,1.0,0.0
MSFT,signal_zscore_vol_bb_gated,0.07,0.0118,0.0357,-1.0198,-1.501,0.2839,-0.0415,-0.0081,229.0,6.0,0.6667,3997.2106,-2300.0673,3.4757,3.0,0.0095,1506.4871,0.0,-0.0001,1.037,0.0,1.0,0.0
MSFT,signal_mr_pool,0.07,0.0118,0.0357,-1.0198,-1.501,0.2839,-0.0415,-0.0081,229.0,6.0,0.6667,3997.2106,-2300.0673,3.4757,3.0,0.0095,1506.4871,0.0,-0.0001,1.037,0.0,1.0,0.0
MSFT,signal_trend_pool,-0.0392,-0.0069,0.0238,-2.3271,-2.8631,-0.0872,-0.0791,-0.0759,1284.0,5.0,0.4,778.9596,-596.3511,0.8708,4.2,-0.0006,565.1068,-0.0,-0.0001,0.8642,0.0,1.0,0.0
MSFT,signal_macd_trend_gated,-0.0403,-0.0071,0.0238,-2.3385,-2.8743,-0.0907,-0.078,-0.0757,1284.0,3.0,0.6667,778.9596,-1690.4133,0.9216,6.0,-0.0004,422.2451,-0.0,-0.0001,0.5185,0.0,1.0,0.0
MSFT,signal_bb_breakout_gated,0.001,0.0002,0.0013,-38.4948,-111.0371,0.1646,-0.0011,-0.001,330.0,2.0,0.0,0.0,-49.3199,0.0,1.5,-0.0009,142.8617,0.0,-0.0,0.3457,0.0,1.0,0.0
SPY,signal_rsi_vol_trend_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPY,signal_zscore_vol_bb_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPY,signal_mr_pool,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPY,signal_macd,0.14,0.0229,0.1373,-0.1223,-0.1835,0.083,-0.2762,-0.1583,1155.0,111.0,0.3514,3586.7987,-1873.7539,1.0369,11.0901,-0.0013,17193.4121,-0.0126,-0.02,19.1852,0.0,1.0,0.0
SPY,signal_ensemble,-0.1112,-0.0202,0.2038,-0.2372,-0.3167,-0.0595,-0.3387,-0.1312,920.0,100.0,0.41,3074.106,-2049.1705,1.0425,11.61,0.0002,15120.344,-0.0175,-0.0304,17.284,0.0,1.0,0.0
SPY,signal_rsi,-0.009,-0.0016,0.153,-0.2526,-0.3592,-0.0057,-0.2719,-0.0763,1099.0,38.0,0.6579,2315.795,-4953.7608,0.899,13.8421,0.0003,6193.3892,-0.0083,-0.022,6.5679,0.0,1.0,0.0
SPY,signal_zscore,-0.1854,-0.0348,0.1795,-0.3793,-0.5211,-0.0875,-0.3982,-0.2491,1404.0,32.0,0.625,3047.4582,-4031.0618,1.26,17.9375,0.0046,4637.1409,-0.0091,-0.0265,5.5309,0.0,1.0,0.0
SPY,signal_bb,0.1651,0.0268,0.0431,-0.4984,-0.8451,0.5415,-0.0494,-0.0134,509.0,29.0,0.2759,2533.5879,-442.4167,2.1816,1.6552,0.0038,5893.5694,0.0,-0.0001,5.0123,0.0,1.0,0.0
SPY,signal_adaptive,0.0842,0.0141,0.0524,-0.6386,-0.9509,0.1305,-0.1078,-0.0494,694.0,125.0,0.432,1120.998,-750.0581,1.1367,7.136,0.001,9277.3331,-0.0051,-0.008,21.6049,0.0,1.0,0.0
SPY,signal_macd_trend_gated,0.0063,0.0011,0.0125,-3.809,-6.584,0.0661,-0.0166,-0.0159,1138.0,2.0,1.0,550.6194,0.0,inf,6.0,0.0063,240.1238,0.0,-0.0,0.3457,0.0,1.0,0.0
SPY,signal_trend_pool,0.0048,0.0008,0.0125,-3.8274,-6.6072,0.0459,-0.0181,-0.0164,1138.0,3.0,0.6667,550.6194,-184.4007,5.972,4.3333,0.0033,341.1984,0.0,-0.0,0.5185,0.0,1.0,0.0
SPY,signal_regime_adaptive,0.0048,0.0008,0.0125,-3.8274,-6.6072,0.0459,-0.0181,-0.0164,1138.0,3.0,0.6667,550.6194,-184.4007,5.972,4.3333,0.0033,341.1984,0.0,-0.0,0.5185,0.0,1.0,0.0
SPY,signal_bb_breakout_gated,-0.0015,-0.0003,0.0005,-102.2791,-102.2791,-0.1729,-0.0015,-0.0015,394.0,1.0,0.0,0.0,-184.4007,0.0,1.0,-0.0026,101.0747,0.0,-0.0,0.1728,0.0,1.0,0.0
^GSPC,signal_zscore_vol_bb_gated,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
^GSPC,signal_macd,0.1336,0.0219,0.1389,-0.1265,-0.1899,0.0793,-0.2763,-0.1585,1157.0,111.0,0.3333,3750.487,-1798.0389,1.0429,11.0901,-0.0013,17186.2895,-0.0128,-0.0202,19.1852,0.0,1.0,0.0
^GSPC,signal_ensemble,-0.1251,-0.0228,0.2089,-0.2394,-0.3198,-0.0664,-0.3438,-0.1279,927.0,101.0,0.3762,3501.9201,-1955.3666,1.0802,11.3366,0.0008,15606.9046,-0.0178,-0.0308,17.4568,0.0,1.0,0.0
^GSPC,signal_rsi,-0.0308,-0.0054,0.1546,-0.2735,-0.3914,-0.0198,-0.2726,-0.0774,1099.0,38.0,0.6579,2174.3723,-4915.9947,0.8506,13.5263,-0.0,6051.7262,-0.0081,-0.0223,6.5679,0.0,1.0,0.0
^GSPC,signal_zscore,-0.2046,-0.0388,0.1849,-0.3852,-0.5345,-0.0951,-0.4079,-0.2674,1404.0,29.0,0.5862,3252.2755,-3543.0487,1.3004,18.3793,0.0037,4152.6688,-0.0089,-0.0267,5.0123,0.0,1.0,0.0
^GSPC,signal_bb,0.1941,0.0311,0.036,-0.4859,-1.186,0.6969,-0.0447,-0.0068,509.0,27.0,0.2593,2166.369,-346.7432,2.1867,1.7037,0.0027,5475.1549,0.0,-0.0001,4.6667,0.0,1.0,0.0
^GSPC,signal_adaptive,0.0145,0.0025,0.0542,-0.8274,-1.2141,0.0225,-0.1106,-0.0662,1173.0,124.0,0.4032,1145.3924,-725.0536,1.0674,7.0565,0.0007,9309.3744,-0.0056,-0.0085,21.4321,0.0,1.0,0.0
^GSPC,signal_regime_adaptive,-0.008,-0.0014,0.0134,-3.7305,-5.7428,-0.0459,-0.0302,-0.0187,1138.0,4.0,0.75,1231.3627,-168.8052,21.8837,3.5,0.0065,557.5066,-0.0,-0.0,0.6914,0.0,1.0,0.0
^GSPC,signal_macd_trend_gated,0.007,0.0012,0.0124,-3.8335,-6.7556,0.0777,-0.0155,-0.015,1138.0,2.0,1.0,552.5049,0.0,inf,6.0,0.0063,240.0312,0.0,-0.0,0.3457,0.0,1.0,0.0
^GSPC,signal_trend_pool,0.0055,0.001,0.0124,-3.8513,-6.7779,0.0562,-0.017,-0.0155,1138.0,3.0,0.6667,552.5049,-168.8052,6.5461,4.3333,0.0033,331.0887,0.0,-0.0,0.5185,0.0,1.0,0.0
^GSPC,signal_rsi_vol_trend_gated,-0.0135,-0.0024,0.0052,-9.8832,-9.8832,-0.1738,-0.0135,-0.0135,290.0,1.0,1.0,2589.0783,0.0,inf,1.0,0.0161,226.4179,-0.0,-0.0,0.1728,0.0,1.0,0.0
^GSPC,signal_mr_pool,-0.0135,-0.0024,0.0052,-9.8832,-9.8832,-0.1738,-0.0135,-0.0135,290.0,1.0,1.0,2589.0783,0.0,inf,1.0,0.0161,226.4179,-0.0,-0.0,0.1728,0.0,1.0,0.0
^GSPC,signal_bb_breakout_gated,-0.0015,-0.0003,0.0005,-105.5837,-105.5837,-0.1729,-0.0015,-0.0015,394.0,1.0,0.0,0.0,-168.8052,0.0,1.0,-0.0026,91.0575,0.0,-0.0,0.1728,0.0,1.0,0.0
