datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,signal_rsi_vol_trend_gated,signal_zscore_vol_bb_gated,signal_macd_trend_gated,signal_bb_breakout_gated,regime_label,signal_mr_pool,signal_trend_pool,signal_regime_adaptive
2020-01-02 05:00:00+00:00,71.34405442839761,72.39408555090253,71.0911838210517,72.33387756347656,135480400.0,,,0.00981757889291357,0.006568477994181476,,,,,,,,1.3029017298508307,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-03 05:00:00+00:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,-0.009769699582811195,,0.0,-0.01899798685410614,,,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-04 05:00:00+00:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,0.0,,0.0,-0.039401854739366526,0.00690822082516118,0.1096646058317634,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-05 05:00:00+00:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,0.0,,-0.007905460774114692,-0.04156869702736132,0.005640538684037817,0.08954077571042157,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-06 05:00:00+00:00,70.75402846338375,72.23995764322866,70.5035611498287,72.20142364501953,118387200.0,0.00793687459917972,,0.004725303763840172,-0.03393148023928594,0.007248015739642805,0.11505868287466045,,,,,,1.7363964933999654,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-07 05:00:00+00:00,72.21105649751387,72.46633779595872,71.6426965801033,71.86185455322266,108872000.0,-0.004714174561480233,,-0.01583141190937698,-0.03847497804455846,0.0065591883935601026,0.10412388775068773,,,,,,0.8236412158554174,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-08 05:00:00+00:00,71.56561372170107,73.31886979288494,71.56561372170107,73.01782989501953,132079200.0,0.015958067244693116,,-0.020799007149668314,-0.04344403974628552,0.008159303948209956,0.1295249347101059,,,,,,1.7532560711838698,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-09 05:00:00+00:00,73.99319481949146,74.76144921222713,73.7427349209394,74.56878662109375,170108400.0,0.02101835328429969,,-0.002255721915231157,-0.009754453778754058,0.010705777018763022,0.16994894150014458,,,,,,1.743619317207603,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-10 05:00:00+00:00,74.8024026801614,75.30092656417412,74.23644614635045,74.73737335205078,140644800.0,0.0022582698883107906,,0.0,-0.003244144706986085,0.01032257583173556,0.1638658112422681,,,,,,1.064480417823674,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
2020-01-11 05:00:00+00:00,74.8024026801614,75.30092656417412,74.23644614635045,74.73737335205078,140644800.0,0.0,,0.0,-0.015575766425206194,0.011016137102722385,0.1748757550943702,,,,,,1.064480417823674,,1.0153501495684476,72.89035204774817,0.024713489670050506,72.83504333496094,75.52068490039466,70.14940176952723,0.0737458630478936,0.8541667737002396,,,,,,1.4166670948009614,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,trending,0,0,0
