datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d
2020-01-02 05:00:00+00:00,296.4802539792737,297.71735029463804,295.5547178974124,297.6990051269531,59151200.0,,,0.00763009866717046,0.006630967989860848,,,,,,,,2.16263239722565,,,,,,,,,,,,,,,,
2020-01-03 05:00:00+00:00,294.2992783946291,296.57186973652915,294.2442988268179,295.4447326660156,77709700.0,-0.007601136692855512,,0.0,-0.006287676843156564,,,,,,,,3.4547063001352285,,,,,,,,,,,,,,,,
2020-01-04 05:00:00+00:00,294.2992783946291,296.57186973652915,294.2442988268179,295.4447326660156,77709700.0,0.0,,0.0,-0.012980237752166501,0.00537481530024402,0.08532254776410383,,,,,,2.3275709097112554,,,,,,,,,,,,,,,,
2020-01-05 05:00:00+00:00,294.2992783946291,296.57186973652915,294.2442988268179,295.4447326660156,77709700.0,0.0,,-0.003800447537606777,-0.010131873244224932,0.004388518315767272,0.06966556852543337,,,,,,2.3275709097112554,,,,,,,,,,,,,,,,
2020-01-06 05:00:00+00:00,293.68527154806566,296.65430772190325,293.5661398420069,296.57183837890625,55653900.0,0.003807687587791735,,0.0028195983341625652,-0.006355579754044549,0.004784635122330659,0.07595372788723218,,,,,,3.088167879896332,,,,,,,,,,,,,,,,
2020-01-07 05:00:00+00:00,296.00370133060426,296.4802282058735,295.28893898289255,295.73797607421875,40496400.0,-0.0028156307230763305,,-0.005301368555354458,-0.00914938051016212,0.0042269242045334604,0.06710034153549033,,,,,,1.282899396013704,,,,,,,,,,,,,,,,
2020-01-08 05:00:00+00:00,295.9304301191349,298.5328990962051,295.6830220422805,297.31414794921875,68296000.0,0.0053154706720607015,,-0.006734907833032544,-0.010672368561884582,0.0032681611372090513,0.051880449681247144,,,,,,2.8498770539245584,,,,,,,,,,,,,,,,
2020-01-09 05:00:00+00:00,298.88109951100057,299.4034333774434,298.29461349284884,299.3301086425781,48473300.0,0.006757689671463141,,0.002885823178914615,-0.002443332414947874,0.0039435668866077776,0.0626021835630806,,,,,,2.0892854282246276,,,,,,,,,,,,,,,,
2020-01-10 05:00:00+00:00,299.91665066701944,300.0724168186088,298.0014540976122,298.4687805175781,53029300.0,-0.002881667184927254,,0.0,-0.007556502019545608,0.004580118089239585,0.07270712063661768,,,,,,2.07096272099659,,,,,,,,,,,,,,,,
2020-01-11 05:00:00+00:00,299.91665066701944,300.0724168186088,298.0014540976122,298.4687805175781,53029300.0,0.0,,0.0,-0.01574381185802154,0.004528301445780175,0.07188455692241148,,,,,,2.07096272099659,,0.8675429462330585,296.82660778948315,0.005501991616165906,296.9924835205078,299.9260719211012,294.0588951199144,0.019755304011866273,0.7516196540679854,,,,,,1.0064786162719448,
