datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,signal_rsi_vol_trend_gated,signal_zscore_vol_bb_gated,signal_macd_trend_gated,signal_bb_breakout_gated,regime_label,signal_mr_pool,signal_trend_pool,signal_regime_adaptive,regime_prob_range_bound,regime_prob_trending_up,regime_prob_trending_down,regime_prob_crisis,signal_adaptive,position_scale_adaptive
2020-01-02 00:00:00-05:00,150.09027767478486,151.93355507544456,149.66490818597188,151.82957458496094,22622100.0,,,-0.012530158192081593,-0.01910836889538824,,,,,,,,2.2686468894726772,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-03 00:00:00-05:00,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200.0,-0.012530158192081593,,0.0,0.009224701173271793,,,,,,,,2.4199290781597256,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-04 00:00:00-05:00,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200.0,0.0,,0.0,0.021640415597701364,0.008860159826961065,0.14065067687054433,,,,,,1.7865629708792312,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-05 00:00:00-05:00,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200.0,0.0,,0.0025815378381258613,0.017002618378751052,0.007234290205186902,0.11484079676996985,,,,,,1.7865629708792312,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-06 00:00:00-05:00,148.48329153461876,150.3927445508696,147.94447970171677,150.32656860351562,20813700.0,0.0025815378381258613,,-0.009159748541432387,0.014421080540625351,0.006805033435908047,0.10802655680935255,,,,,,2.448264849152821,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-07 00:00:00-05:00,150.60067989425875,150.931516303683,148.71013667343422,148.95590209960938,21634100.0,-0.009159748541432387,,0.015802911876578486,0.023580829082057685,0.006605759663015498,0.10486318373400505,,,,,,2.2213796302487765,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-08 00:00:00-05:00,150.23201839712107,151.99968621410528,149.30565620651117,151.3285369873047,27746500.0,0.015802911876578486,,0.012415714424429396,0.01973042685864683,0.008989971251116722,0.14271136934445028,,,,,,3.0437841144959066,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-09 00:00:00-05:00,152.98278300469048,153.34199090041147,152.21711516271918,153.21910095214844,21385000.0,0.012415714424429396,,-0.00463779721895022,0.0002465495767823435,0.010009817705028281,0.15890092989957677,,,,,,2.013453913106787,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-10 00:00:00-05:00,153.90915972860566,154.28726267501992,152.35890014667973,152.51014709472656,20725900.0,-0.00463779721895022,,0.0,0.011339969410721748,0.010702087134027304,0.16989036639588137,,,,,,1.9283625283401875,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-11 00:00:00-05:00,153.90915972860566,154.28726267501992,152.35890014667973,152.51014709472656,20725900.0,0.0,,0.0,0.029497589569534688,0.010813170580852134,0.17165376144632757,,,,,,1.9283625283401875,,0.9463803493852562,151.05700539466963,0.009528164045074075,151.04969635009766,153.8989433777377,148.20044932245762,0.03772595505304641,0.7562871401569122,,,,,,1.0251485606276465,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
