datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,regime_label,regime_prob_range_bound,regime_prob_trending_up,regime_prob_trending_down,regime_prob_crisis,signal_adaptive
2020-01-02 00:00:00-05:00,71.34404690340438,72.39407791515757,71.09117632272992,72.33386993408203,135480400.0,,,0.009817472382700476,0.006568478691540536,,,,,,,,1.302901592427645,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-03 00:00:00-05:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,-0.009769594108098717,,0.0,-0.01899829435909739,,,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-04 00:00:00-05:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,0.0,,0.0,-0.03940205130366825,0.006908146243276743,0.10966342188105221,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-05 00:00:00-05:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800.0,0.0,,-0.007905460774114692,-0.041568501348768216,0.005640477788184176,0.08953980901871393,,,,,,0.9825910261223356,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-06 00:00:00-05:00,70.75402846338375,72.23995764322866,70.5035611498287,72.20142364501953,118387200.0,0.00793687459917972,,0.004725410433040311,-0.033931283001436774,0.007247970572063795,0.11505796586157215,,,,,,1.7363964933999654,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-07 00:00:00-05:00,72.21104883104543,72.46633010238772,71.64268897397623,71.86184692382812,108872000.0,-0.004714280729001072,,-0.01583182489366386,-0.038474883817077976,0.006559168160080728,0.10412356655416023,,,,,,0.8236411284114808,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-08 00:00:00-05:00,71.56563615467269,73.31889277543256,71.56563615467269,73.01785278320312,132079200.0,0.01595848687236526,,-0.020798900580138002,-0.043443644298734485,0.008159487618104333,0.12952785037928902,,,,,,1.7532566207598705,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-09 00:00:00-05:00,73.99320996049889,74.76146451044018,73.74275001069596,74.56880187988281,170108400.0,0.021018244451153703,,-0.0022553140447990616,-0.009754251147752635,0.010705853247792918,0.16995015159847932,,,,,,1.7436117272370524,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-10 00:00:00-05:00,74.80238740809561,75.30091119032697,74.23643098983341,74.73735809326172,140644800.0,0.0022578610958399496,,0.0,-0.0032441453671796516,0.010322714365200308,0.163868010392844,,,,,,1.0644802004935627,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
2020-01-11 00:00:00-05:00,74.80238740809561,75.30091119032697,74.23643098983341,74.73735809326172,140644800.0,0.0,,0.0,-0.015575571700720103,0.011016259559668552,0.17487769903812542,,,,,,1.0644802004935627,,1.0153501495684476,72.8903516595702,0.024713295744100482,72.83504257202148,75.52068146200286,70.1494036820401,0.07374579035429919,0.8541644277525025,,,,,,1.4166577110100094,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,,,,,,0
