datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,signal_rsi_vol_trend_gated,signal_zscore_vol_bb_gated,signal_macd_trend_gated,signal_bb_breakout_gated,regime_label,signal_mr_pool,signal_trend_pool,signal_regime_adaptive,regime_prob_range_bound,regime_prob_trending_up,regime_prob_trending_down,regime_prob_crisis,signal_adaptive,position_scale_adaptive
2020-01-02 00:00:00-05:00,295.672721478946,296.90644827655234,294.7497063085325,296.8881530761719,59151200.0,,,-0.007601053477143704,-0.006608875390071888,,,,,,,,2.156741968019844,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-03 00:00:00-05:00,293.497710709038,295.76411231173057,293.442880886225,294.6400451660156,77709700.0,-0.007601053477143704,,0.0,0.006307614252228989,,,,,,,,3.445272189946877,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-04 00:00:00-05:00,293.497710709038,295.76411231173057,293.442880886225,294.6400451660156,77709700.0,0.0,,0.0,0.013065499774459095,0.005374756457849899,0.08532161367005547,,,,,,2.321231425505573,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-05 00:00:00-05:00,293.497710709038,295.76411231173057,293.442880886225,294.6400451660156,77709700.0,0.0,,0.003807851905084458,0.010183436397686712,0.004388470271153659,0.06966480584083663,,,,,,2.321231425505573,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-06 00:00:00-05:00,292.8854243272233,295.8463743777095,292.76661707449347,295.7641296386719,55653900.0,0.003807851905084458,,-0.0028156738180126766,0.006375584492602085,0.004784650999180802,0.07595397992441466,,,,,,3.079757303216013,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-07 00:00:00-05:00,295.19752718117184,295.67275622250656,294.4847115081981,294.9325256347656,40496400.0,-0.0028156738180126766,,0.005315436165157327,0.009191258310614875,0.00422694695846175,0.06710070274290394,,,,,,1.2794181304738004,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-08 00:00:00-05:00,295.12444534201336,297.7198263343244,294.87771109631456,296.50439453125,68296000.0,0.005315436165157327,,0.00675788552223001,0.010729648898348569,0.0032681958821104613,0.051881001239457894,,,,,,2.8421152380098533,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-09 00:00:00-05:00,298.06713678048754,298.5880481404525,297.48224797862525,298.5149230957031,48473300.0,0.00675788552223001,,-0.0028820633767723683,0.002445753792980932,0.003943639710554439,0.06260333960739474,,,,,,2.0836536092024858,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-10 00:00:00-05:00,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300.0,-0.0028820633767723683,,0.0,0.007585078013940426,0.00458029604590446,0.07270994561109412,,,,,,2.0653219125362057,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-11 00:00:00-05:00,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300.0,0.0,,0.0,0.01586897199625664,0.0045284536872463674,0.07188697368076415,,,,,,2.0653219125362057,,0.8675429462330585,296.0181646440808,0.005501851415752156,296.1835906982422,299.1091924974004,293.257988899084,0.019755326703016773,0.7516118318097273,,,,,,1.0064473272389174,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-12 00:00:00-05:00,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300.0,0.0,,0.006853826752890975,0.018977279011935612,0.004041451527566279,0.06415605406597484,0.004239576323869397,0.06730118770341513,,,,2.0653219125362057,,0.8781168342998321,296.1488969309049,0.005062645202298663,296.3174299760298,299.23143086806425,293.4034290839954,0.019668103170779803,0.7296486561714853,,,,,,0.9185946246859493,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-13 00:00:00-05:00,298.2772800531271,299.7120310890485,297.8477611357546,299.7029113769531,47086800.0,0.006853826752890975,,-0.0015260095831375615,0.01212345225904472,0.004413761833786907,0.07006629695081137,0.004486793352447825,0.07122563636828834,,,,2.0562083351422302,,0.7942954387182225,296.38414171954116,0.011073531592216536,296.59955342610675,299.9966036770232,293.2025031751903,0.022906644407762126,0.9567724528080159,297.28292922726587,,,,,1.8270898112320686,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-14 00:00:00-05:00,299.2641779536659,300.3151199538499,298.6884369921767,299.24591064453125,62832800.0,-0.0015260095831375615,,0.002257260844187123,0.013649461842182258,0.003755449153930461,0.05961590713588755,0.004332984601153336,0.06878399813594473,,,,1.6266829616731684,,1.0550485567562387,296.6163959637012,0.008787136556574636,296.8031193659856,300.37146921584736,293.23476951612383,0.02404523144826963,0.842285843782987,297.5849263683836,,,,,1.3691433751319526,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-15 00:00:00-05:00,299.15450437501033,300.68064734274424,299.07225965420616,299.9221496582031,72056600.0,0.002257260844187123,,0.008283893982316305,0.011392200997995235,0.003274606511844564,0.051982766831600406,0.004172126882333891,0.06623046101317628,,,,1.6083876885380732,2.13525120775203,1.1920540162407949,296.8978700328608,0.010083548776870451,297.02590724400113,300.8381478440653,293.21366664393696,0.025669414735142875,0.8798609161962705,297.944499182202,,,,,1.5194436647850922,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-16 00:00:00-05:00,301.3020729180111,302.4169921875,301.0736060831897,302.4169921875,54050300.0,0.008283893982316305,,0.003108307015678977,0.0011479240750338036,0.004261951372078042,0.06765638058221407,0.004481900984498884,0.07114797243479762,,,35.49399652018204,2.494842529296875,2.1609363021480905,0.9005238503931349,297.2292101084265,0.017154400093553724,297.38531290690105,301.99459051335276,292.77603530044934,0.03099869029439719,1.0458208107877895,298.63257502917094,,,,,2.1832832431511697,,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-17 00:00:00-05:00,303.12999249847564,303.5686312399201,302.3531992084545,303.35845947265625,95846000.0,0.003108307015678977,,0.0,-0.0018395352712025587,0.0038940955689278993,0.06181685074141082,0.0043435366342610745,0.0689515064685199,,,38.49977831464815,1.215432031465582,2.093400282813626,1.5394470147023527,297.8189385231846,0.018260644384538588,297.75863456726074,303.120415741191,292.3968533933305,0.03601427835483351,1.0221981953145227,299.35963417432254,,,,,2.088792781258081,,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-18 00:00:00-05:00,303.12999249847564,303.5686312399201,302.3531992084545,303.35845947265625,95846000.0,0.0,,0.0,-0.0006934685675301787,0.003752092244502912,0.05956261785077317,0.004211611669594991,0.06685726257915527,,,38.49977831464815,1.215432031465582,2.0306882648601943,1.4920994503419989,298.30514535635314,0.016657897475770254,298.088036032284,303.94723955180245,292.2288325127655,0.03931189991727076,0.9497559628040885,299.9748380663739,,,,,1.7990238512163519,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-19 00:00:00-05:00,303.12999249847564,303.5686312399201,302.3531992084545,303.35845947265625,95846000.0,0.0,,0.0,-0.009626334635543063,0.003395516780124828,0.05390215783654249,0.0040909502739096965,0.06494182230417976,,,38.49977831464815,1.215432031465582,1.9724556767605792,1.452392692256436,298.7128896060306,0.015313797000094444,298.3808373345269,304.5843513278292,292.1773233412246,0.04158118228180507,0.9011937543385482,300.49539520580197,,,,,1.6047750173541921,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-20 00:00:00-05:00,303.12999249847564,303.5686312399201,302.3531992084545,303.35845947265625,95846000.0,0.0,,-0.0019603829406450593,-0.009626334635543063,0.003616905559253328,0.05741659575234779,0.003980045837095601,0.06318126894955711,,,38.49977831464815,1.215432031465582,1.918382559239508,1.4186152618570889,299.0597462540737,0.014170408255814766,298.64281744706005,305.0896586041051,292.195976290015,0.04317425888327545,0.8657327604886751,300.93586663147187,,,,,1.4629310419547035,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-21 00:00:00-05:00,302.398801777143,303.56855126120206,302.3257046358388,302.76434326171875,77742400.0,-0.0019603829406450593,,0.00012084766944259301,-0.007665951694898071,0.001819418027920113,0.028882365796465147,0.0039351826385617805,0.06246908775152068,,,37.034991357206295,1.2428466253632564,1.8701299925340615,1.142060759605615,299.27128999770287,0.011537201595091343,298.848893737793,305.3889009864228,292.30888648916317,0.04376798700394693,0.799345962097066,301.21717072843296,,,,,1.1973838483882686,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-22 00:00:00-05:00,303.62340922666306,304.2722754026212,302.64559193983825,302.8009338378906,48914900.0,0.00012084766944259301,,0.0011460667036723969,-0.0239462710493847,0.0008917577348111878,0.014156215176172137,0.0038356349738756764,0.06088881756538061,,,37.19348194698734,1.6266834627829212,1.8527409546946945,0.724019252749621,299.50339224970213,0.010890130180225555,299.14453277587893,305.84396902162626,292.4450965301316,0.044790631361908244,0.7728887124146232,301.46082659142644,,,,,1.0915548496584937,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-23 00:00:00-05:00,302.1520504997015,303.55941441938006,301.0371309067921,303.1481628417969,51963000.0,0.0011460667036723969,,-0.00893286606801293,-0.014667586742244176,0.0011263874324159051,0.017880846156486354,0.003738677685747065,0.059349668332279365,,,38.768588416732335,2.5222835125879897,1.9005654231156441,0.7840763232202733,299.93141228922974,0.010611149750710683,299.56993865966797,306.14438456883255,292.9954927505034,0.04389256103986858,0.7721312359678075,301.7204167837911,,,,,1.0885249438712319,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-24 00:00:00-05:00,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400.0,-0.00893286606801293,,0.0,-0.006560586709008795,0.00407535295429777,0.06469422253130568,0.0038995928578677112,0.061904117497929664,,,32.04832005402123,4.7247077502496495,2.1022898750537875,1.311715248047219,300.2735037872069,0.0005948905657461331,299.8605484008789,306.01806645273524,293.7030303490225,0.04106921090282585,0.5480462732201905,301.52531266170547,,,,,0.1921850928807618,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-25 00:00:00-05:00,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400.0,0.0,,0.0,-0.003320822606456904,0.00407535295429777,0.06469422253130568,0.0038995928578677112,0.061904117497929664,,,32.04832005402123,4.7247077502496495,2.2896054375677775,1.30209216492091,300.610575941349,-0.0005269920807372551,300.15115814208986,305.79877058840475,294.50354569577496,0.03763178847133648,0.5266556753855319,301.36022455840225,,,,,0.10662270154212734,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-26 00:00:00-05:00,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400.0,0.0,,-0.016159471685044103,-0.021645618289697778,0.004164456932177091,0.06610870432907737,0.0038995928578677112,0.061904117497929664,,,32.04832005402123,4.7247077502496495,2.463541317045054,1.2719069571008939,300.79636723255095,-0.001145364209392346,300.385563659668,305.64212772434934,295.1289995949866,0.03499877957275576,0.5063421970840601,301.22053462483797,,,,,0.025368788336240518,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-27 00:00:00-05:00,295.2065895983411,297.11656914672125,294.86846311743926,295.6361083984375,84062500.0,-0.016159471685044103,,0.010424751010812772,-0.005486146604653639,0.007542435130379745,0.11973244580893103,0.005333513858683505,0.08466690770515829,,,23.11006520028043,5.583776872795113,2.6864152853129157,1.183407420796873,300.65818059256287,-0.016987343735958588,300.4207427978516,305.53102989517544,295.3104557005277,0.03402086719932315,0.03186246601294917,300.36139212846865,299.7300398698137,0.6313522586549425,,,-1.8725501359482046,,1,0.22966449332398564,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-28 00:00:00-05:00,297.0617682289767,299.6114663707145,295.72752948381543,298.7341613769531,63834000.0,0.010424751010812772,,-0.0008258660347775283,-0.015910897615466515,0.010081820703598,0.16004394206677525,0.005752706813038073,0.09132138955659412,,,35.56026663185952,3.9753579722769814,2.7784826200960633,0.9014677554118039,300.77177079037847,-0.006820811533684014,300.53223114013673,305.3729486307965,295.691513649477,0.03221429842846076,0.31427652340246975,300.1110489359278,299.6562710925648,0.4547778433629901,,,-0.74289390639012,,1,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-29 00:00:00-05:00,300.0959653632685,300.3244323534179,298.28649676123206,298.487548828125,53888900.0,-0.0008258660347775283,,0.00323976410255186,-0.007683900734288044,0.009511542381381929,0.15099105435472596,0.0056568358733499816,0.08979948557035754,,,35.07341574717549,2.0379355921858178,2.7255864038167603,0.7581233861500593,300.7621358896386,-0.007620375022153323,300.53086242675784,305.37399645359784,295.68772839991783,0.03223052692646714,0.2890504797813706,299.8612796885735,299.5696990729766,0.2915806155968994,,,-0.8437980808745207,,1,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-30 00:00:00-05:00,296.4220989348696,299.66634584075405,295.67274865407313,299.4561462402344,75491800.0,0.00323976410255186,,-0.018324795683240903,0.004202689288743477,0.009731090796617506,0.15447627739943603,0.005506664471282443,0.08741558846692996,,,38.627421611390176,3.9935971866809155,2.8161586025927714,1.0455190901361664,300.807931900525,-0.004514135633089166,300.6208786010742,305.3032723374698,295.93848486467857,0.03115148726984589,0.3756263968377423,299.7989514657521,299.56128775203274,0.23766371371937112,,,-0.49749441264902833,,1,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-01-31 00:00:00-05:00,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600.0,-0.018324795683240903,,0.0,0.034009225963531654,0.012480721769279116,0.1981253159046156,0.006808938203835337,0.10808854307853073,,,29.022878384129683,6.351367641190393,3.068673533921173,1.51298067316753,300.40540092026873,-0.0217222776912452,300.43901977539065,305.83452113851746,295.04351841226384,0.03591744752170014,-0.09497469308723566,298.9096737387494,299.15072171412174,-0.24104797537233935,,,-2.379898772348931,-1.6147559054486296,1,0.03257072052901056,0,0.0,0,0.0,-1,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-02-01 00:00:00-05:00,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600.0,0.0,0.052716486229853116,0.0,0.03736844699554045,0.010602265509125849,0.16830574722614763,0.006808938203835337,0.10808854307853073,,,29.022878384129683,5.885309840388288,3.269861841525967,1.454213434922296,300.0341401795302,-0.020459566140511823,300.25716094970704,306.2587900983299,294.2555318010842,0.03997659292880685,-0.019735104834341915,298.1572079697471,298.77056797531526,-0.6133600055681541,,,-2.078940419337369,-1.524442523441184,1,0.03257072052901056,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-02-02 00:00:00-05:00,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600.0,0.0,0.051885679374522604,0.0074011308464008285,0.03202465359484171,0.00860733597569735,0.1366372226548481,0.006808938203835337,0.10808854307853073,0.006038269388022624,0.09585455489953225,29.022878384129683,5.885309840388288,3.4566795557304184,1.3947451664729753,299.62418991913444,-0.019065265929834704,299.9729476928711,306.5917280505913,293.3541673351509,0.044129181705390784,0.05019647647835924,297.5205061652067,298.4185737727167,-0.8980676075099723,,,-1.7992140940865577,-1.4478713973824477,1,0.03257072052901056,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-02-03 00:00:00-05:00,295.49912122993766,298.0670871911225,295.3803139687608,296.2027893066406,69083000.0,0.0074011308464008285,1.226222964882179,0.015126354125583477,0.024623522748440946,0.009864867966417177,0.15659992413376397,0.006839814222844125,0.10857868468516847,0.006094613145410052,0.0967489843194008,36.8948200567426,4.048440950888107,3.498948226813111,0.8431216259970902,299.49446108391373,-0.011112899324744178,299.82079162597654,306.6466200627079,292.9949631892452,0.04553272239536006,0.23497705422343917,297.3177804946581,298.2544415900444,-0.9366610953862846,,,-1.060091783106245,-0.7550210458545392,1,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
2020-02-04 00:00:00-05:00,299.81259553758144,301.5855011806518,299.4927362514343,300.7173156738281,62573200.0,0.015126354125583477,2.2479587990463408,0.011481740991547229,0.00949716862285737,0.012408152000993974,0.1969733065471112,0.00764056559665963,0.12129021866782333,0.006556176616913197,0.10407607727861462,49.389379355414796,5.382711874011193,3.6335027730415455,0.768118041319372,299.5225107139933,0.003973183111047562,299.8605499267578,306.6981172572388,293.02298259627685,0.045604980929642595,0.5626513572488687,297.8407859068381,298.4368767073617,-0.5960908005235979,-0.3107304554884571,-0.28536034503514074,0.25060542899547517,0.6347883633400114,1,0.0,0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0,,0,0,0,,,,,0,0.0
