datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble
2020-01-02 00:00:00-05:00,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000.0,,,0.0071100667127246275,0.006385238526160464,,,,,,,,22.60986328125,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-03 00:00:00-05:00,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000.0,-0.007084909364954553,,0.0,-0.00559473444880787,,,,,,,,35.510009765625,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-04 00:00:00-05:00,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000.0,0.0,,0.0,-0.012169009103067396,0.0050097874560514405,0.07952791038001823,,,,,,23.809814453125,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-05 00:00:00-05:00,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000.0,0.0,,-0.0035209321246080227,-0.00934049920769342,0.004090474329040612,0.06493426691361151,,,,,,23.809814453125,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-06 00:00:00-05:00,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000.0,0.003527145194272564,,0.0028111188900266093,-0.005840129783652559,0.004452425273846216,0.07068006003417447,,,,,,32.2001953125,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-07 00:00:00-05:00,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000.0,-0.0028071750845948405,,-0.004878534590396777,-0.008626997159001282,0.003950140362759216,0.06270653426195613,,,,,,13.85009765625,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-08 00:00:00-05:00,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000.0,0.004890473485641129,,-0.006611262914638205,-0.010668627832416844,0.00307986609382446,0.04889135853383667,,,,,,30.400146484375,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-09 00:00:00-05:00,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000.0,0.006633214116906491,,0.0028633540772047272,-0.00257373297693253,0.003816274845209316,0.06058148505057219,,,,,,22.530029296875,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-10 00:00:00-05:00,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000.0,-0.0028592624875049015,,0.0,-0.0072781485128849965,0.004438447161937329,0.0704581643867196,,,,,,22.1298828125,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-11 00:00:00-05:00,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000.0,0.0,,0.0,-0.015514895344751145,0.004390626344232475,0.06969903243988682,,,,,,22.1298828125,,0.9224143843134059,3250.3143227492997,0.00460464405263695,3250.4310546875,3280.3729116141276,3220.4891977608722,0.018423314583736847,0.7491335625126575,,,,,,0.9965342500506347,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-12 00:00:00-05:00,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000.0,0.0,,-0.006927884836704035,-0.019302508174877997,0.003907594845045434,0.062031145106329164,0.0040287826224649995,0.06395494143228607,,,,22.1298828125,,0.9289666066890656,3251.584116639686,0.004215774910765282,3251.7873313210225,3281.5833161861906,3221.9913464558545,0.018325912385582482,0.7275938586457423,,,,,,0.9103754345829713,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-13 00:00:00-05:00,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000.0,0.006951994045933256,,0.0015168300616414943,-0.012460951374250628,0.004401589218163846,0.06987306266834858,0.004326174884190169,0.06867589723044507,,,,22.77978515625,,0.9997370170216455,3254.628796244551,0.010188492475027797,3254.815877278646,3290.1337468052225,3219.4980077520695,0.021701915474312966,0.9716310182411403,3261.9162348227023,,,,,1.88652407296456,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-14 00:00:00-05:00,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000.0,-0.0015156808368957204,,-0.0018667057771835083,-0.013956611627816251,0.0037906019806294195,0.06017394095984593,0.004180574075826798,0.06636455605272834,,,,17.06005859375,,1.0603354653999604,3256.9550993452754,0.00797855832893128,3256.995417668269,3294.2838411223597,3219.7069942141784,0.022897436853494865,0.8507051552834116,3265.1829529028632,,,,,1.4028206211336454,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-15 00:00:00-05:00,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000.0,0.0018684502436879626,,-0.008297134609787649,-0.012112516354888747,0.0032957056189497247,0.05231770477331504,0.004016960668578587,0.06376727373232016,,,,17.969970703125,22.63496584730324,1.0647450345586829,3259.4142755243233,0.009082739187904433,3259.302176339286,3299.069678510872,3219.5346741676994,0.024402464098159535,0.877039807451628,3268.8917353889615,,,,,1.5081592298065154,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-16 00:00:00-05:00,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3540580000.0,0.008331747422232019,,-0.0038473033387876887,-0.001198504097498887,0.004319621990594169,0.06857187326950777,0.004360368980589199,0.06921871168271548,,,36.30679040871566,27.820068359375,23.00533031245122,1.012109208322939,3263.286995561888,0.01613690928522886,3263.13603515625,3311.6169759300965,3214.655094382403,0.02971432404381832,1.0535579815568983,3276.263785112775,,,,,2.214231926227597,,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0
2020-01-17 00:00:00-05:00,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000.0,0.003854723247485144,,0.0,0.0023692683638143475,0.0039501228090579555,0.06270625560558737,0.004253976225282894,0.0675297790516789,,,40.123907719593255,13.06982421875,22.295651305758277,1.0608548010471976,3267.685108720949,0.018601223649161242,3267.291290283203,3324.725961588788,3209.8566189776184,0.03515736198752356,1.0426062819500828,3284.4724515858097,,,,,2.1704251278003275,,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0
2020-01-18 00:00:00-05:00,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000.0,0.0,,0.0,0.0012268918963760367,0.0038281455300110696,0.06076992632983704,0.004125747393377393,0.06549420945089733,,,40.123907719593255,11.019775390625,21.490231597534475,1.0570708108186584,3271.5362669337605,0.017444587733570747,3270.957691865809,3334.2558763946504,3207.6595073369676,0.0387031508761185,0.963381578463454,3291.4182462937624,,,,,1.8535263138538134,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-19 00:00:00-05:00,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000.0,0.0,,0.0,0.010362754565500953,0.003473465573432943,0.055139556569087575,0.004008370865888874,0.06363091484195159,,,40.123907719593255,11.019775390625,20.742341868469513,1.0537298543092553,3274.936527326294,0.016423372017405076,3274.2167154947915,3341.564344952973,3206.86908603661,0.04113816238214645,0.9113240669228783,3297.295457200491,,,,,1.6452962676915126,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-20 00:00:00-05:00,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000.0,0.0,,0.002659029333722307,0.010362754565500953,0.0036937410895255297,0.05863632198207192,0.003900409796736033,0.0619170860004212,,,40.123907719593255,11.019775390625,20.047872834337763,1.0507584281377782,3277.960698006688,0.015515109040261448,3277.132684004934,3347.3462010913313,3206.919166918537,0.04285057936719868,0.8737701468364026,3302.268481813877,,,,,1.4950805873456101,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
2020-01-21 00:00:00-05:00,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,4104840000.0,-0.002655500369585384,,-0.0002889925302927976,0.0076832951246625925,0.0023250240012414334,0.03690861179724698,0.003892902168599,0.061797906098501956,,,38.01181424532177,13.179931640625,19.557305606215426,1.1484798975308959,3280.4201298680427,0.012156718347015451,3279.3155517578125,3350.3905859940323,3208.2405175215927,0.04334748096938793,0.7917655105648342,3305.117952159819,,,,,1.1670620422593347,,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0
