base_signal,gated_signal,base_sharpe,gated_sharpe,sharpe_delta,base_max_drawdown,gated_max_drawdown,max_drawdown_delta,base_total_return,gated_total_return,base_n_trades,gated_n_trades,trade_reduction_pct,low_sample_size,verdict
signal_rsi,signal_rsi_vol_trend_gated,-0.0476,0.0,0.0476,-0.4675,0.0,0.4675,0.0865,0.0,34,0,100.0,True,gating_helped_dd_only_low_sample
signal_zscore,signal_zscore_vol_bb_gated,-0.164,-1.0198,-0.8557,-0.3392,-0.0415,0.2978,-0.0104,0.07,27,6,77.8,True,gating_helped_low_sample
signal_macd,signal_macd_trend_gated,-0.568,-2.3385,-1.7706,-0.5452,-0.078,0.4672,-0.3983,-0.0403,104,3,97.1,True,gating_helped_low_sample
signal_bb,signal_bb_breakout_gated,-0.4153,-38.4948,-38.0795,-0.1474,-0.0011,0.1463,0.0891,0.001,35,2,94.3,True,gating_helped_dd_only_low_sample
signal_ensemble,signal_regime_adaptive,-0.4867,-0.9629,-0.4762,-0.4928,-0.1004,0.3924,-0.3947,0.0308,98,11,88.8,True,gating_helped_low_sample
