ticker,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,n_trades,hit_rate,avg_win,avg_loss,profit_factor,avg_hold_days,avg_pnl_pct,total_costs,var_95,cvar_95,turnover,alpha,beta,r2
GOOGL,0.0859,0.0143,0.3199,0.0496,0.0729,0.0307,-0.4671,-0.2135,1105.0,92.0,0.4348,4631.8321,-3485.197,1.0223,12.8804,-0.0035,12974.0114,-0.0273,-0.0473,15.9012,0.0,1.0,0.0
SPY,-0.1112,-0.0202,0.2038,-0.2372,-0.3167,-0.0595,-0.3387,-0.1312,920.0,100.0,0.41,3074.106,-2049.1705,1.0425,11.61,0.0002,15120.344,-0.0175,-0.0304,17.284,0.0,1.0,0.0
^GSPC,-0.1251,-0.0228,0.2089,-0.2394,-0.3198,-0.0664,-0.3438,-0.1279,927.0,101.0,0.3762,3501.9201,-1955.3666,1.0802,11.3366,0.0008,15606.9046,-0.0178,-0.0308,17.4568,0.0,1.0,0.0
MSFT,-0.3947,-0.0831,0.2259,-0.4867,-0.6696,-0.1686,-0.4928,-0.2901,1152.0,98.0,0.2449,4167.6422,-1362.9402,0.9917,11.949,-0.0025,15266.6921,-0.0189,-0.036,16.9383,0.0,1.0,0.0
AAPL,-0.5916,-0.1434,0.1921,-0.9636,-1.3405,-0.2294,-0.6252,-0.4723,1395.0,88.0,0.0909,5042.8999,-946.1799,0.533,13.8523,-0.001,13994.2705,-0.0116,-0.0314,15.2099,0.0,1.0,0.0
