base_signal,gated_signal,base_sharpe,gated_sharpe,sharpe_delta,base_max_drawdown,gated_max_drawdown,max_drawdown_delta,base_total_return,gated_total_return,base_n_trades,gated_n_trades,trade_reduction_pct,low_sample_size,verdict
signal_rsi,signal_rsi_vol_trend_gated,-0.2735,-9.8832,-9.6097,-0.2726,-0.0135,0.259,-0.0308,-0.0135,38,1,97.4,True,gating_helped_low_sample
signal_zscore,signal_zscore_vol_bb_gated,-0.3852,0.0,0.3852,-0.4079,0.0,0.4079,-0.2046,0.0,29,0,100.0,True,gating_helped_low_sample
signal_macd,signal_macd_trend_gated,-0.1265,-3.8335,-3.707,-0.2763,-0.0155,0.2608,0.1336,0.007,111,2,98.2,True,gating_helped_dd_only_low_sample
signal_bb,signal_bb_breakout_gated,-0.4859,-105.5837,-105.0978,-0.0447,-0.0015,0.0432,0.1941,-0.0015,27,1,96.3,True,gating_helped_dd_only_low_sample
signal_ensemble,signal_regime_adaptive,-0.2394,-3.7305,-3.4911,-0.3438,-0.0302,0.3136,-0.1251,-0.008,101,4,96.0,True,gating_helped_low_sample
