,alpha_annual,beta_mkt,r2,regime
2022-04-04,0.23400445561469874,-0.14716332836246526,0.03389595479842844,range_bound
2022-04-05,0.17329468257280345,-0.13538973903747845,0.029880299166036628,range_bound
2022-04-06,0.19572918556793484,-0.13967106929370013,0.03200892501707964,range_bound
2022-04-07,0.24496267797251203,-0.13468592294450657,0.030644345027772135,range_bound
2022-04-08,0.27709739637390274,-0.12671156195057207,0.027929344388576194,range_bound
2022-04-11,0.28876851322966224,-0.12641465002719332,0.027858765627478244,range_bound
2022-04-12,0.3191592477889811,-0.13986046371218072,0.033898518139727774,range_bound
2022-04-27,0.3587295302418909,-0.14518091363361663,0.03721834322196871,range_bound
2022-04-28,0.309074076517331,-0.15542977903885455,0.04379837694412614,range_bound
2022-04-29,0.3424285575354751,-0.13762548104325564,0.035469775817931315,range_bound
2022-05-02,0.2931222401603648,-0.10957424313826974,0.024305557694110025,range_bound
2022-05-03,0.25471037200776236,-0.10330948434865715,0.022196187310892568,range_bound
2022-05-04,0.2687299841228632,-0.10255614629261058,0.021992517409128998,range_bound
2022-05-05,0.2504872121700985,-0.09536250524538625,0.020220408610495677,range_bound
2022-05-06,0.2859070760234086,-0.0798565824775597,0.015721789138304465,range_bound
2022-05-09,0.2770865625375867,-0.0792464517966049,0.015511145082153566,crisis
2022-05-12,0.2254519286970722,-0.066210565022206,0.01185949857329549,crisis
2022-05-13,0.15058744674192215,-0.0409497980336275,0.005209846843454713,crisis
2022-05-16,0.12307171450816501,-0.04610793935869935,0.0069103683933957605,range_bound
2022-05-17,0.09199602243269034,-0.0533897355936299,0.009417876954133653,crisis
2022-05-18,0.09287688923073212,-0.05233261227906744,0.009232717928263523,crisis
2022-05-19,0.09229884976867431,-0.04359476791951818,0.0068915604584549595,crisis
2022-05-20,0.13012398068980957,-0.05986257178111868,0.01348404905244116,crisis
2022-05-23,0.13205587313040712,-0.05998829338985103,0.013543154447106298,crisis
2022-05-24,0.14684327860208124,-0.058760728221857204,0.01318521401463435,crisis
2022-05-25,0.14740978949012362,-0.05836007586834998,0.01303897788264996,crisis
2022-05-26,0.1463483705328006,-0.05830235722625193,0.013051870504951935,crisis
2022-05-27,0.13354309718530222,-0.06182799831792338,0.014897305585717557,crisis
2022-05-31,0.13938799036678184,-0.057526042990780325,0.013180149019646703,crisis
2022-06-01,0.1329569541322959,-0.05699317109696734,0.012940427097495433,crisis
2022-06-02,0.12109543024033664,-0.0566779797674846,0.012792475735245445,crisis
2022-06-03,0.12895410169451882,-0.0528566258200007,0.011260601006183424,crisis
2022-06-06,0.11495416999084185,-0.049416493059168703,0.009917133218470986,crisis
2022-06-07,0.14898959712223747,-0.04355949043817487,0.007974419783276177,crisis
2022-06-08,0.16270916042905958,-0.04229958747094583,0.007559572741215215,crisis
2022-06-09,0.15899870513428205,-0.039930997327807895,0.006756567832684968,crisis
2022-06-10,0.13097721095020476,-0.018795178560249235,0.001440609107069002,crisis
2022-06-13,0.1232023635989441,0.0025815790841460474,2.7363257766865878e-05,crisis
2022-06-14,0.1694163626316869,-0.014761779895808663,0.0009239647692472763,crisis
2022-06-15,0.18517019717817584,-0.01322561831099082,0.0007490782223271708,crisis
2022-06-16,0.19783237231405826,-0.011735198634357428,0.0005950766193791868,crisis
2022-06-17,0.167883030454425,-0.002164713305109688,2.093628282862081e-05,crisis
2022-06-21,0.12974749875733704,0.0018830192130454765,1.6572261783531772e-05,crisis
2022-06-22,0.1478918658408097,0.00713176271292395,0.0002422105245182271,crisis
2022-06-23,0.18369058787346004,0.011823208407029938,0.0006919962189231299,crisis
2022-06-24,0.18968076850326843,0.012241721520778862,0.0007449343610104187,crisis
2022-06-27,0.2263874503298331,0.019629627226967514,0.0019979727261266733,crisis
2022-06-28,0.21347104785632287,0.020000310134430425,0.002078592598742768,crisis
2022-06-29,0.22347532228993372,0.023905148205926558,0.0030256145869665962,crisis
2022-06-30,0.21407220562928253,0.023977953385986215,0.0030473682375575795,crisis
2022-07-01,0.19727482999192336,0.024777965727657766,0.0032699369578746973,crisis
2022-07-05,0.20857364585662053,0.025405685938294346,0.003458915242354532,crisis
2022-07-06,0.22418779388919408,0.026144195454965775,0.0036882748363361584,crisis
2022-07-07,0.11903060197792459,0.06182943745200841,0.03566266091822634,crisis
2022-07-08,0.1678174923226443,0.07123657138537691,0.04808156810816322,crisis
2022-07-11,0.13885392682372966,0.0784612440445645,0.05949675774771246,crisis
2022-07-12,0.11398724639106428,0.08261531425040186,0.06301664037883514,crisis
2022-07-13,0.09949697081239339,0.08531249911372914,0.06553760506001927,crisis
2022-07-15,0.08546566067002836,0.0863110551392214,0.06605506900315328,crisis
2022-07-18,0.027691474447732567,0.06964023501528703,0.03715021582325451,crisis
2022-07-19,0.005958316649445017,0.07352664284898322,0.039457453164082,crisis
2022-07-20,0.08862060247940273,0.1069685563621916,0.06211708008396877,crisis
2022-07-21,0.10376053949555297,0.1087814493758211,0.06337816565196619,crisis
2022-07-22,0.12843175929413309,0.11318224629410875,0.06661169576212911,crisis
2022-07-25,0.1104677951398434,0.11934230572811758,0.07131652525189702,crisis
2022-07-26,0.11893679807496205,0.1203456343715713,0.07228818174644203,crisis
2022-07-27,0.09020023068381877,0.1266656887795108,0.07666389513094019,crisis
2022-07-28,0.16135384210036374,0.15190190917138008,0.0958575157020406,crisis
2022-07-29,0.18438857417266052,0.1556358468138344,0.0995591588545306,crisis
2022-08-05,0.20641026109817484,0.16095281670550407,0.10482794067922052,crisis
2022-08-08,0.20716122606299203,0.16093667157282862,0.10481066279559581,crisis
2022-08-09,0.23054553465225824,0.16356471619079727,0.10872668811573916,crisis
2022-08-10,0.25074988697341904,0.16338613464601923,0.10843727428949046,crisis
2022-08-11,0.13057555863293224,0.14607025797284792,0.07865294063477823,crisis
2022-08-12,0.13149357907481263,0.14608580896479775,0.07867513855703556,crisis
2022-08-15,0.029318913580900885,0.143450642482368,0.07349350383632369,crisis
2022-08-16,-0.0018467107976160024,0.1455256774804254,0.07548116394945081,crisis
2022-08-17,0.014772117881111324,0.13804434355031467,0.06855076034930674,crisis
2022-08-18,0.03778608543836115,0.1349130734393731,0.06464565408946987,trending_up
2022-08-22,0.03635530205127724,0.13215418223371406,0.061832133739513795,crisis
2022-08-23,0.1328171912081284,0.10324764876066875,0.032484428118184305,range_bound
2022-08-24,0.14819642811470213,0.10233947271272673,0.03192809088738535,range_bound
2022-08-25,0.10531376124566849,0.09118308841831098,0.02541248929765183,range_bound
2022-08-26,0.053206099098316084,0.08015239369757983,0.018633334309202998,range_bound
2022-08-29,0.17662578529270578,0.019951842003027187,0.0009389123891144768,range_bound
2022-08-30,0.1894500247332942,0.01918166306289396,0.0008649122593181735,range_bound
2022-08-31,0.21050282430616885,0.015745534351375247,0.0005723909976381725,range_bound
2022-09-01,0.2236779832873359,0.014862661758952282,0.0005098608353143463,range_bound
2022-09-02,0.21524981809900412,0.014294791064075392,0.0004710448923886945,range_bound
2022-09-09,0.24081678736405432,0.011364509782772621,0.0002960812110800459,range_bound
2022-09-12,0.27523909320338946,0.018059954380316247,0.0007394131007012472,range_bound
2022-09-13,0.2996609177123004,0.019866460611244852,0.0008852922976478883,crisis
2022-09-14,0.19750760566277648,0.07935798229203447,0.012846692829261208,crisis
2022-09-15,0.19879584531661854,0.0792951254661993,0.012829734256950998,trending_down
2022-09-16,0.19446065237187704,0.08228014751068578,0.013725294245964359,trending_down
2022-09-19,0.20340995002637086,0.08171987297819173,0.013555963856218711,trending_down
2022-09-20,0.18495869316882563,0.08038977067219827,0.01293630191814088,trending_down
2022-09-21,0.20483257435459468,0.07749771330257937,0.012016236776498768,crisis
2022-09-23,0.23069472580291683,0.07133225070676476,0.010157972658318193,trending_down
2022-09-26,0.19578433418379837,0.07899055764061154,0.012325532411944229,trending_down
2022-09-27,0.18112608839142452,0.08072734389507455,0.0127774531430086,range_bound
2022-09-28,0.17242984591873523,0.07981148564996134,0.012294959444029474,range_bound
2022-09-29,0.19641560621537435,0.085356545402107,0.014150974953174966,range_bound
2022-09-30,0.1726051900735619,0.09215844236836328,0.01643723291033683,range_bound
2022-10-03,0.1624072715672107,0.09693928437042185,0.018020398380894753,range_bound
2022-10-04,0.20055661170553218,0.1088600936844725,0.02283444083857411,range_bound
2022-10-05,0.22555641593788445,0.11713175789011447,0.026942375890316894,range_bound
2022-10-06,0.23066367864932547,0.11347791432574468,0.02472883061301967,range_bound
2022-10-07,0.21727226425666668,0.11521566484974585,0.02545813109858419,trending_down
2022-10-10,0.19354083198951022,0.1301816882115203,0.03193339457464639,trending_down
2022-10-11,0.18701364999244596,0.13080694668703158,0.03224589917060672,trending_down
2022-10-12,0.1779020801158122,0.13163191655139347,0.0325133149480028,trending_down
2022-10-13,0.1731983626133773,0.13179644515565236,0.032547529541648856,range_bound
2022-10-14,0.20721467377902236,0.14220166760045627,0.03775603106363934,trending_down
2022-10-17,0.20603336142238438,0.1486102272861796,0.041030227739154435,range_bound
2022-10-18,0.2212225804128063,0.15212259607539355,0.04355503337758182,range_bound
2022-10-19,0.2267854070665727,0.1528724639303075,0.044006370707063924,range_bound
2022-10-20,0.2258885459569202,0.15313995298138336,0.04420151746104972,trending_down
2022-10-21,0.22666400854482793,0.15436847068818213,0.044754808286657455,crisis
2022-10-24,0.23475929213154,0.15629384041757174,0.046435531015332376,crisis
2022-11-04,0.24119517057023976,0.1573837341757344,0.0469552160938681,crisis
2022-11-07,0.2103269631813096,0.1516946488048141,0.04357221021981994,crisis
2022-11-08,0.18330465373165938,0.14836979292306104,0.041484315321605125,range_bound
2022-11-09,0.15906426067393253,0.14610338254818303,0.04000949917984409,range_bound
2022-11-10,0.21239180964484694,0.1311338156350527,0.03161102208232025,crisis
2022-11-11,0.03997917700674014,0.043549353044144666,0.003267572585507028,crisis
2022-11-22,0.04461288950669218,0.04377858005583672,0.0033102330465328844,crisis
2022-11-29,0.039741391219967115,0.04217670564028957,0.003077455491237835,crisis
2022-11-30,0.023631162201712463,0.04499375990879624,0.003497798623907089,crisis
2022-12-01,-0.04065438027878099,0.025813251879610713,0.0011492732508396886,crisis
2022-12-02,-0.032176142237169914,0.0262856558147181,0.001191825730997631,crisis
2022-12-05,-0.033727081240182644,0.026399930673006368,0.0012021367424022156,crisis
2022-12-06,-0.12559744934317207,0.04973410408614163,0.0041108925481850855,crisis
2022-12-07,-0.08884225305334015,0.041078123396218705,0.0027578721165544273,crisis
2022-12-08,-0.08512652308313129,0.04088147690873197,0.002730497612039029,crisis
2022-12-09,-0.12287354324086697,0.03277595322529236,0.001724427399188766,crisis
2022-12-12,-0.09189013259838263,0.02517427929797294,0.000977440210699787,crisis
2022-12-13,-0.13082329619793587,0.016749316536443012,0.0004263619358453319,crisis
2022-12-14,-0.15051834060040148,0.014524343494198268,0.000319329266004309,crisis
2022-12-15,-0.13371667667992126,0.012036063288691638,0.0002131549166025648,crisis
2022-12-16,-0.0646495102017367,-0.014600558360877813,0.0002899215877250061,crisis
2022-12-19,-0.0369234960447119,-0.019538454234368386,0.0005163952735941502,crisis
2022-12-20,-0.01692814108279528,-0.02226411003312828,0.0006496711851843306,crisis
2022-12-21,-0.02030050107812098,-0.022329172213805922,0.0006533707409916989,crisis
2022-12-22,-0.05738878095288491,-0.030895780211941327,0.0012218908570715836,crisis
2022-12-23,-0.009474932589574991,-0.041304665740089425,0.0021457804315970774,crisis
2023-01-03,-0.030394388638750214,-0.04367170928648215,0.0023637929771892496,crisis
2023-01-04,-0.036898223374696726,-0.04823481068626047,0.002740176905562386,crisis
2023-01-05,-0.007708225870663443,-0.04500740672078836,0.0023690915035187166,crisis
2023-01-06,-0.04907062006373841,-0.037269213560246754,0.0016065531729780869,crisis
2023-01-09,0.03409754240576479,-0.0073207578973632625,5.8167436962186514e-05,crisis
2023-01-10,0.03355074640822897,-0.007547789915592749,6.170859343435087e-05,crisis
2023-01-11,0.05858491590848858,-0.0051324261705545954,2.836172001929871e-05,crisis
2023-01-12,0.09960271097095874,0.001555271121684346,2.54623274820176e-06,crisis
2023-01-13,0.1049437709245431,-0.0005010637964669746,2.593518197979705e-07,crisis
2023-01-17,0.12385412799753426,-0.0001323776500852977,1.8068194607145927e-08,crisis
