,alpha_annual,beta_mkt,r2,regime
2022-03-24,0.206940534154469,-0.1251424654102179,0.02429389014900929,range_bound
2022-03-25,0.16543617292718515,-0.10852883505788354,0.019226523844718013,range_bound
2022-03-28,0.1732904076030244,-0.1082544173066991,0.01917412599035917,range_bound
2022-03-29,0.21232499791543424,-0.10028541840698764,0.016934242386897225,range_bound
2022-04-06,0.2647367060425889,-0.08757252055982752,0.013380106139947334,range_bound
2022-04-27,0.2852219305089059,-0.09003090312376992,0.014223251483698074,range_bound
2022-04-28,0.29826441808252135,-0.08949967107035948,0.014107543631607489,range_bound
2022-04-29,0.3696581098900782,-0.07916318047949018,0.011658316121705092,range_bound
2022-05-02,0.29633390402401494,-0.06462683791457431,0.0085965245809827,range_bound
2022-05-03,0.27709237776675844,-0.06644269710403147,0.009138315870601654,range_bound
2022-05-04,0.2754086288746904,-0.06663708574093383,0.009198949724559702,range_bound
2022-05-05,0.2575998773025632,-0.061975879387206,0.008425209692447644,range_bound
2022-05-12,0.21236089932817337,-0.049778466744466905,0.005958778655211994,range_bound
2022-05-13,0.22317256555537046,-0.04909410383105904,0.005816927265155147,range_bound
2022-05-16,0.1974638035100229,-0.04525314682101626,0.0051506901791301685,range_bound
2022-05-17,0.23764644207816765,-0.03800428341105086,0.003784109078670772,crisis
2022-05-18,0.23389946203925582,-0.03746892567721577,0.003751606029269272,crisis
2022-05-19,0.17833473148834345,-0.01996362216676223,0.0011923789596041123,crisis
2022-05-24,0.09726068541061705,0.006605566172553581,0.00015293799986659806,crisis
2022-05-25,0.10340089938482055,0.006817032028205545,0.00016375276364488656,crisis
2022-05-26,0.07656473027889321,0.001532025454259108,8.48784276119563e-06,crisis
2022-05-27,0.055290503268075275,-0.002888570199400466,3.1309057895723136e-05,crisis
2022-05-31,0.06120506155223615,0.0010936006036605464,4.592517033774612e-06,crisis
2022-06-01,0.06533128191664916,0.001002526169787262,3.870840111552809e-06,crisis
2022-06-02,0.1060446470461105,-0.016330560448898364,0.0010799689351576047,crisis
2022-06-03,0.1043401178324066,-0.015282614165142011,0.0009558791633214048,crisis
2022-06-06,0.10815516448429108,-0.01562537060486731,0.0010072088890386022,crisis
2022-06-07,0.10327759965145811,-0.016681395300341066,0.0011447303383866902,crisis
2022-06-08,0.10652230360115378,-0.015941022391125863,0.0010477253148230004,crisis
2022-06-09,0.09222748162128114,-0.014428438650891084,0.0008588314379706086,crisis
2022-06-10,0.04902233470339401,0.006763844161161948,0.0001803472898939118,crisis
2022-06-13,0.01982226058608405,0.025872564403849385,0.002610613073223189,crisis
2022-06-14,0.054027877663828994,0.0027806481081536077,3.092210881805446e-05,crisis
2022-06-15,0.04855758160697721,0.002819034300810237,3.176946872229802e-05,crisis
2022-06-16,0.035230633633539954,-0.001570791419578446,9.947226269124698e-06,crisis
2022-06-17,0.016748110579862807,0.006466576735349748,0.00017408513048222662,crisis
2022-06-21,0.015286029419579572,0.00637235879211003,0.00016903879944452083,crisis
2022-06-22,0.023566125321484277,0.01129928025839749,0.000540434852954963,crisis
2022-06-23,0.01883228735875675,0.011060044357998776,0.0005177316467479542,crisis
2022-06-24,0.018874376069918153,0.011458644523084588,0.0005576062211380961,crisis
2022-06-27,0.062139635890052114,0.023210425580210504,0.002428021311296824,crisis
2022-06-28,0.06675854759732092,0.02355586011081184,0.0025048556874910366,crisis
2022-06-29,0.06539390885893659,0.02639843503245582,0.0031861750437962577,crisis
2022-06-30,0.0784862191041642,0.02741584370315991,0.0034573676433026224,crisis
2022-07-01,0.09992341048525022,0.03048811418323137,0.004363708787051501,crisis
2022-07-05,0.12017324732532453,0.03234543448542825,0.004972901322337631,crisis
