datetime,open,high,low,close,volume
2020-01-02 00:00:00-05:00,296.4802539792737,297.71735029463804,295.5547178974124,297.6990051269531,59151200
2020-01-03 00:00:00-05:00,294.2992783946291,296.57186973652915,294.2442988268179,295.4447326660156,77709700
2020-01-06 00:00:00-05:00,293.68527154806566,296.65430772190325,293.5661398420069,296.57183837890625,55653900
2020-01-07 00:00:00-05:00,296.00370133060426,296.4802282058735,295.28893898289255,295.73797607421875,40496400
2020-01-08 00:00:00-05:00,295.9304301191349,298.5328990962051,295.6830220422805,297.31414794921875,68296000
2020-01-09 00:00:00-05:00,298.88109951100057,299.4034333774434,298.29461349284884,299.3301086425781,48473300
2020-01-10 00:00:00-05:00,299.91665066701944,300.0724168186088,298.0014540976122,298.4687805175781,53029300
2020-01-13 00:00:00-05:00,299.0918985059818,300.5305679585822,298.6612065390366,300.52142333984375,47086800
2020-01-14 00:00:00-05:00,300.0815801434285,301.13539265854723,299.50426661844074,300.0632629394531,62832800
2020-01-15 00:00:00-05:00,299.9715910397463,301.5019023922084,299.8891216822957,300.7413330078125,72056600
2020-01-16 00:00:00-05:00,302.1250165187214,303.24298095703125,301.8959256745201,303.24298095703125,54050300
2020-01-17 00:00:00-05:00,303.9577072786301,304.39754374969027,303.1787929075441,304.1867980957031,95846000
2020-01-21 00:00:00-05:00,303.22464675250427,304.39759079860585,303.1513499843944,303.5911865234375,77742400
2020-01-22 00:00:00-05:00,304.45249838050813,305.10313638265757,303.47201101725864,303.6277770996094,48914900
2020-01-23 00:00:00-05:00,302.9772414486863,304.388448943037,301.85927695982,303.97607421875,51963000
2020-01-24 00:00:00-05:00,304.63595531865434,304.71842469709,299.9808119910327,301.27288818359375,87578400
2020-01-27 00:00:00-05:00,296.0129115356498,297.92810796760887,295.6738615021962,296.443603515625,84062500
2020-01-28 00:00:00-05:00,297.873118472315,300.4297804795818,296.53523558628365,299.5500793457031,63834000
