datetime,open,high,low,close,volume
2020-01-02 00:00:00-05:00,295.672721478946,296.90644827655234,294.74970630853255,296.8881530761719,59151200
2020-01-03 00:00:00-05:00,293.49771070903796,295.76411231173057,293.442880886225,294.6400451660156,77709700
2020-01-06 00:00:00-05:00,292.8854243272233,295.8463743777095,292.76661707449347,295.7641296386719,55653900
2020-01-07 00:00:00-05:00,295.19752718117184,295.67275622250656,294.4847115081981,294.9325256347656,40496400
2020-01-08 00:00:00-05:00,295.12444534201336,297.7198263343244,294.87771109631456,296.50439453125,68296000
2020-01-09 00:00:00-05:00,298.06713678048754,298.5880481404525,297.48224797862525,298.5149230957031,48473300
2020-01-10 00:00:00-05:00,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300
2020-01-13 00:00:00-05:00,298.2772800531271,299.7120310890485,297.8477611357546,299.7029113769531,47086800
2020-01-14 00:00:00-05:00,299.2641779536659,300.3151199538499,298.6884369921767,299.24591064453125,62832800
2020-01-15 00:00:00-05:00,299.15450437501033,300.68064734274424,299.07225965420616,299.9221496582031,72056600
2020-01-16 00:00:00-05:00,301.3020729180111,302.4169921875,301.0736060831897,302.4169921875,54050300
2020-01-17 00:00:00-05:00,303.12999249847564,303.5686312399201,302.3531992084545,303.35845947265625,95846000
2020-01-21 00:00:00-05:00,302.398801777143,303.56855126120206,302.3257046358388,302.76434326171875,77742400
2020-01-22 00:00:00-05:00,303.62340922666306,304.2722754026212,302.64559193983825,302.8009338378906,48914900
2020-01-23 00:00:00-05:00,302.1520504997015,303.55941441938006,301.0371309067921,303.1481628417969,51963000
2020-01-24 00:00:00-05:00,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400
2020-01-27 00:00:00-05:00,295.2065895983411,297.11656914672125,294.86846311743926,295.6361083984375,84062500
2020-01-28 00:00:00-05:00,297.0617682289767,299.6114663707145,295.72752948381543,298.7341613769531,63834000
2020-01-29 00:00:00-05:00,300.0959653632685,300.3244323534179,298.28649676123206,298.487548828125,53888900
2020-01-30 00:00:00-05:00,296.4220989348696,299.66634584075405,295.67274865407313,299.4561462402344,75491800
2020-01-31 00:00:00-05:00,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600
2020-02-03 00:00:00-05:00,295.49912122993766,298.0670871911225,295.3803139687608,296.2027893066406,69083000
2020-02-04 00:00:00-05:00,299.81259553758144,301.5855011806518,299.4927362514343,300.7173156738281,62573200
2020-02-05 00:00:00-05:00,303.6507933581962,304.4001715229161,302.18862743263116,304.1899719238281,65951100
2020-02-06 00:00:00-05:00,305.14955406449695,305.40543589404376,304.1351464583818,305.2135314941406,50359700
2020-02-07 00:00:00-05:00,304.1534770985751,305.22268676878366,303.0385573065691,303.5868835449219,64139400
2020-02-10 00:00:00-05:00,302.700414075177,305.91721840038207,302.6638515575527,305.8532409667969,42070000
2020-02-11 00:00:00-05:00,307.2057455520756,307.99165832638704,305.8532114209266,306.3832702636719,54864500
2020-02-12 00:00:00-05:00,307.81800184241695,308.5673799444257,307.4524603916157,308.3572082519531,43992700
2020-02-13 00:00:00-05:00,306.93160682994335,308.9969568539677,306.6574576626084,308.02825927734375,54501900
2020-02-14 00:00:00-05:00,308.4394837726626,308.6405357740244,307.24231936560784,308.521728515625,64582200
2020-02-18 00:00:00-05:00,307.52563255819723,308.58572245034776,306.33758779968736,307.7266845703125,57226200
2020-02-19 00:00:00-05:00,308.6953514933789,309.8742206443196,308.41205476200304,309.1979675292969,48814700
2020-02-20 00:00:00-05:00,308.64960860364215,309.4721116863874,304.9393086876562,307.92767333984375,74163400
2020-02-21 00:00:00-05:00,306.5751180835918,306.8858296734732,303.93402773606726,304.75653076171875,113788200
2020-02-24 00:00:00-05:00,295.307216805096,304.82970245486194,293.5708458942109,294.64923095703125,161088400
2020-02-25 00:00:00-05:00,296.0383395057608,296.65061531833436,284.8434588747355,285.72076416015625,218913200
