datetime,open,high,low,close,volume
2020-01-02 00:00:00-05:00,150.09027767478486,151.93355507544456,149.66490818597188,151.82957458496094,22622100
2020-01-03 00:00:00-05:00,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200
2020-01-06 00:00:00-05:00,148.48329153461876,150.3927445508696,147.94447970171677,150.32656860351562,20813700
2020-01-07 00:00:00-05:00,150.60067989425875,150.931516303683,148.71013667343422,148.95590209960938,21634100
2020-01-08 00:00:00-05:00,150.23201839712107,151.99968621410528,149.30565620651117,151.3285369873047,27746500
2020-01-09 00:00:00-05:00,152.98278300469048,153.34199090041147,152.21711516271918,153.21910095214844,21385000
2020-01-10 00:00:00-05:00,153.90915972860566,154.28726267501992,152.35890014667973,152.51014709472656,20725900
2020-01-13 00:00:00-05:00,152.90714658550698,154.3723206204449,152.43451073060453,154.34396362304688,21626500
2020-01-14 00:00:00-05:00,154.44791867975053,154.64643205258074,152.8693169149173,153.2568817138672,23477400
2020-01-15 00:00:00-05:00,153.72010076525626,154.96786650736908,153.67284871260028,154.24945068359375,21417900
2020-01-16 00:00:00-05:00,155.35544875508083,157.14201214066856,155.05295481159047,157.07583618164062,23865400
2020-01-17 00:00:00-05:00,158.25738972858082,158.30465619935018,156.37629381209493,157.9549102783203,34371700
2020-01-21 00:00:00-05:00,157.55789835006,158.98526801417273,157.32158039758605,157.38775634765625,29517200
2020-01-22 00:00:00-05:00,158.2384898999051,158.3235753219564,156.61262128751815,156.63153076171875,24138800
2020-01-23 00:00:00-05:00,157.09475589555782,157.6713723921675,156.22510738691315,157.5957489013672,19680800
2020-01-24 00:00:00-05:00,158.34249802467247,158.36140750217533,155.44996818605821,156.00767517089844,24918100
2020-01-27 00:00:00-05:00,152.3305200644923,154.43848622125867,151.4325148850545,153.398681640625,32078100
2020-01-28 00:00:00-05:00,154.81659911684454,156.68823305925625,154.1454642817214,156.4046630859375,24899900
2020-01-29 00:00:00-05:00,158.6544238565207,159.51462470178666,156.6220951483202,158.84347534179688,34754500
2020-01-30 00:00:00-05:00,164.52455005778435,164.52455005778435,161.44295493874296,163.3240509033203,51597500
2020-01-31 00:00:00-05:00,162.78523773584587,162.96482723403622,160.29916867247016,160.91358947753906,36142700
2020-02-03 00:00:00-05:00,161.1026967304352,164.94996061485972,161.07433972491364,164.83653259277344,30107000
2020-02-04 00:00:00-05:00,167.44543856138947,170.75388971293165,166.6608612717509,170.26234436035156,36433300
2020-02-05 00:00:00-05:00,173.95835927347207,174.1190537403817,168.64593664566272,170.05438232421875,39186300
2020-02-06 00:00:00-05:00,171.06583483899962,173.75986517610264,170.20563405922817,173.58026123046875,27751400
2020-02-07 00:00:00-05:00,172.8429430262262,175.47079730341426,172.49318267512277,173.82601928710938,33529100
2020-02-10 00:00:00-05:00,173.53297073949096,178.50509441167975,173.2210293650427,178.3727569580078,35844300
2020-02-11 00:00:00-05:00,180.2160459982191,180.2633124685266,173.45735903159144,174.34591674804688,53159900
2020-02-12 00:00:00-05:00,175.42353231595447,175.67875972595644,171.89767274276622,174.6011505126953,47062900
2020-02-13 00:00:00-05:00,173.0603579564026,176.03795827229686,172.86184453761513,173.6558837890625,35295800
2020-02-14 00:00:00-05:00,173.2210544650253,175.26284498070825,172.65388562499024,175.2061309814453,23149500
2020-02-18 00:00:00-05:00,175.45187980244407,177.42749418236605,175.34789933909548,176.98321533203125,27792200
2020-02-19 00:00:00-05:00,178.25337813017842,178.36711595467847,176.7462941031497,177.51405334472656,29997500
2020-02-20 00:00:00-05:00,177.20124557370298,177.4856045751215,171.65631012999017,174.8031768798828,36862400
2020-02-21 00:00:00-05:00,173.61834725384844,173.93114068656777,168.00705551331956,169.2771759033203,48572600
2020-02-24 00:00:00-05:00,159.0214151505909,165.44786191190894,154.7181513655058,161.9787139892578,68311100
2020-02-25 00:00:00-05:00,165.11615139518335,165.72277733069018,158.90770527302703,159.30581665039062,68073300
2020-02-26 00:00:00-05:00,160.86022960459255,164.2250980795155,159.43844930371904,161.29623413085938,56206100
2020-02-27 00:00:00-05:00,154.80343832364952,158.31996665846233,149.74188971489195,149.93145751953125,93174900
2020-02-28 00:00:00-05:00,144.4623810412788,155.17313038454182,144.0737575661736,153.561767578125,97012700
2020-03-02 00:00:00-05:00,156.6897348186127,163.9029039869373,153.8461729566677,163.77967834472656,71030800
2020-03-03 00:00:00-05:00,164.7369648639986,165.8743863348176,153.79872580292735,155.931396484375,71677000
2020-03-04 00:00:00-05:00,159.70387209335476,161.79862063132381,156.98352219099715,161.6564483642578,49814400
2020-03-05 00:00:00-05:00,157.3910652042187,161.959711223559,157.04983739033096,157.59959411621094,47817300
2020-03-06 00:00:00-05:00,154.13047574382352,154.60440254772644,147.86516281770332,153.14471435546875,72821100
2020-03-09 00:00:00-04:00,143.12589028178613,149.5239019334554,142.17803670376105,142.7657012939453,70419300
2020-03-10 00:00:00-04:00,149.91253931749316,152.63287471129829,144.6235141245197,152.5286102294922,65354400
2020-03-11 00:00:00-04:00,148.9362624974482,149.4765316073589,143.268086730117,145.6187744140625,56371600
2020-03-12 00:00:00-04:00,137.72311310044867,145.4670742719519,131.35353657797347,131.80850219726562,93226400
2020-03-13 00:00:00-04:00,139.80842308587606,153.46699860222324,133.39144937999532,150.547607421875,92727400
